사고번호,사고일시,요일,시군구,도로명주소,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도,좌표,좌표계
2021072600100628,2021년 7월 26일 23시,월요일,서울특별시 강남구 대치동,,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,-,기타,교차로 - 교차로횡단보도내,개인형이동수단(PM),남,25세,경상,승용,남,65세,상해없음,"[205408.0898997, 444357.06901946]",EPSG:5181
2021072700100340,2021년 7월 27일 15시,화요일,서울특별시 강남구 도곡동,,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),남,48세,부상신고,승용,남,49세,상해없음,"[202929.10810093, 443039.38672963]",EPSG:5181
2021072800100081,2021년 7월 28일 08시,수요일,서울특별시 송파구 신천동,,중상사고,0,1,0,0,차대사람 - 기타,기타,-,맑음,단일로 - 기타,개인형이동수단(PM),남,41세,상해없음,보행자,여,43세,중상,"[209276.18486254, 446135.32120789]",EPSG:5181
2021072800100243,2021년 7월 28일 13시,수요일,서울특별시 동대문구 휘경동,,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),남,36세,상해없음,자전거,남,73세,중상,"[205081.04607283, 454499.34492186]",EPSG:5181
2021072800100275,2021년 7월 28일 14시,수요일,서울특별시 관악구 신림동,,경상사고,0,0,1,0,차대차 - 정면충돌,중앙선침범,-,비,단일로 - 기타,개인형이동수단(PM),남,27세,경상,승용,남,44세,상해없음,"[193794.87085124, 442792.79914764]",EPSG:5181
2021072800100345,2021년 7월 28일 16시,수요일,서울특별시 중랑구 면목동,,경상사고,0,0,1,0,차대차 - 정면충돌,안전운전불이행,-,맑음,교차로 - 교차로안,개인형이동수단(PM),남,14세,경상,승용,남,73세,상해없음,"[208236.90626874, 453445.71770479]",EPSG:5181
2021072800100446,2021년 7월 28일 18시,수요일,서울특별시 송파구 방이동,,중상사고,0,1,1,0,차대차 - 정면충돌,신호위반,-,맑음,단일로 - 기타,개인형이동수단(PM),남,32세,경상,자전거,여,54세,중상,"[210588.19263375, 445668.103196]",EPSG:5181
2021072800100576,2021년 7월 28일 22시,수요일,서울특별시 관악구 신림동,,경상사고,0,0,1,0,차대차 - 정면충돌,안전운전불이행,-,맑음,교차로 - 교차로안,개인형이동수단(PM),남,22세,경상,승용,남,52세,상해없음,"[193462.55265276, 443017.12085795]",EPSG:5181
2021072900100022,2021년 7월 29일 03시,목요일,서울특별시 성동구 성수동2가,,중상사고,0,1,0,0,차량단독 - 도로외이탈 - 추락,안전운전불이행,-,맑음,단일로 - 기타,개인형이동수단(PM),남,44세,중상,,,,,"[205480.97780957, 449841.62818415]",EPSG:5181
2021072900100066,2021년 7월 29일 08시,목요일,서울특별시 서초구 양재동,,중상사고,0,1,0,0,차대사람 - 보도통행중,기타,-,맑음,단일로 - 기타,개인형이동수단(PM),남,28세,상해없음,보행자,여,51세,중상,"[203728.49268081, 442649.47690598]",EPSG:5181
2021072900100247,2021년 7월 29일 13시,목요일,서울특별시 성동구 성수동2가,,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,-,맑음,교차로 - 교차로횡단보도내,개인형이동수단(PM),여,25세,중상,승용,남,42세,상해없음,"[205881.0931476, 449849.75852197]",EPSG:5181
2021073000100098,2021년 7월 30일 09시,금요일,서울특별시 강남구 논현동,,경상사고,0,0,1,0,차대사람 - 보도통행중,기타,-,맑음,단일로 - 기타,개인형이동수단(PM),남,38세,기타불명,보행자,여,30세,경상,"[203847.56253293, 445658.29515156]",EPSG:5181
2021073000100240,2021년 7월 30일 13시,금요일,서울특별시 송파구 가락동,,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,-,맑음,기타 - 기타,개인형이동수단(PM),남,23세,경상,승용,여,59세,상해없음,"[209497.47264875, 444026.65243997]",EPSG:5181
